iter	Passed	Remaining
318	858	1831
319	859	1827
320	862	1823
321	864	1819
322	866	1815
323	868	1811
324	870	1808
325	872	1804
326	874	1799
327	877	1797
328	879	1793
329	881	1789
330	883	1785
331	886	1782
332	889	1781
333	891	1777
334	893	1774
335	896	1772
336	899	1769
337	903	1769
338	905	1765
339	911	1769
340	913	1766
341	916	1762
342	918	1758
343	920	1754
344	922	1751
345	924	1747
346	926	1744
347	929	1740
348	931	1736
349	933	1733
350	935	1729
351	937	1725
352	940	1723
353	942	1719
354	944	1715
355	946	1712
356	948	1708
357	950	1705
358	953	1701
359	955	1699
360	958	1696
361	960	1692
362	962	1688
363	964	1684
364	966	1680
365	968	1678
366	971	1675
367	973	1671
368	974	1667
369	977	1663
370	979	1660
371	981	1656
372	984	1655
373	987	1653
374	989	1649
375	991	1645
376	993	1642
377	995	1638
378	997	1634
379	999	1631
380	1001	1627
381	1004	1624
382	1006	1620
383	1007	1616
384	1009	1613
385	1011	1609
386	1013	1606
387	1016	1602
388	1018	1599
389	1020	1596
390	1022	1592
391	1024	1589
392	1026	1585
393	1028	1581
394	1029	1576
395	1032	1574
396	1034	1571
397	1036	1567
398	1038	1564
399	1040	1560
400	1042	1557
401	1044	1553
402	1047	1551
403	1049	1548
404	1051	1545
405	1053	1541
406	1055	1538
407	1058	1535
408	1060	1531
409	1062	1529
410	1064	1525
411	1066	1522
412	1068	1518
413	1070	1515
414	1073	1512
415	1075	1509
416	1077	1507
417	1080	1503
418	1082	1500
419	1084	1498
420	1087	1495
421	1089	1491
422	1090	1488
423	1093	1484
424	1095	1481
425	1097	1478
426	1099	1475
427	1101	1471
428	1103	1468
429	1105	1465
430	1107	1461
431	1108	1457
432	1110	1454
433	1113	1451
434	1115	1448
435	1117	1445
436	1119	1442
437	1121	1438
438	1123	1435
439	1125	1432
440	1127	1428
441	1129	1425
442	1131	1422
443	1133	1418
444	1135	1415
445	1137	1412
446	1139	1409
447	1141	1406
448	1144	1404
449	1146	1401
450	1148	1398
451	1150	1395
452	1152	1391
453	1154	1388
454	1156	1385
455	1158	1382
456	1160	1378
457	1162	1375
458	1164	1372
459	1166	1369
460	1168	1365
461	1170	1362
462	1172	1359
463	1174	1356
464	1176	1353
465	1178	1350
466	1180	1347
467	1182	1344
468	1184	1341
469	1186	1338
470	1188	1334
471	1190	1331
472	1192	1328
473	1194	1325
474	1196	1322
475	1198	1319
476	1202	1318
477	1204	1315
478	1206	1312
479	1208	1309
480	1210	1306
481	1212	1302
482	1214	1299
483	1216	1296
484	1218	1293
485	1220	1290
486	1222	1287
487	1224	1284
488	1225	1281
489	1227	1278
490	1230	1275
491	1233	1273
492	1236	1271
493	1238	1268
494	1240	1265
495	1242	1262
496	1243	1258
497	1245	1255
498	1248	1253
499	1250	1250
500	1252	1247
501	1254	1244
502	1256	1241
503	1259	1239
504	1261	1236
505	1264	1234
506	1267	1232
507	1269	1229
508	1271	1226
509	1273	1223
510	1275	1220
511	1277	1217
512	1281	1216
513	1283	1213
514	1285	1210
515	1287	1207
516	1289	1204
517	1291	1201
518	1293	1198
519	1297	1197
520	1299	1195
521	1301	1192
522	1303	1189
523	1305	1186
524	1307	1183
525	1309	1180
526	1311	1177
527	1314	1174
528	1316	1171
529	1318	1169
530	1320	1166
531	1322	1163
532	1324	1160
533	1328	1159
534	1330	1156
535	1332	1153
536	1334	1150
537	1336	1147
538	1338	1144
539	1340	1141
540	1342	1139
541	1344	1136
542	1346	1133
543	1348	1130
544	1350	1127
545	1352	1124
546	1354	1122
547	1358	1120
548	1360	1117
549	1362	1114
550	1364	1111
551	1366	1108
552	1368	1106
553	1370	1103
554	1372	1100
555	1374	1097
556	1376	1095
557	1378	1092
558	1380	1089
559	1382	1086
560	1384	1083
561	1386	1080
562	1388	1078
563	1391	1075
564	1393	1072
565	1395	1070
566	1397	1067
567	1399	1064
568	1401	1061
569	1403	1058
570	1405	1055
571	1407	1052
572	1409	1050
573	1411	1047
574	1413	1044
575	1415	1041
576	1417	1039
577	1420	1037
578	1422	1034
579	1424	1031
580	1426	1028
581	1428	1026
582	1430	1023
583	1432	1020
584	1434	1017
585	1436	1014
586	1438	1012
587	1441	1009
588	1444	1007
589	1447	1005
590	1452	1004
591	1454	1002
592	1456	999
593	1458	997
594	1461	994
595	1462	991
596	1465	989
597	1467	986
598	1468	983
599	1470	980
600	1472	977
601	1474	974
602	1476	972
603	1479	969
604	1481	967
605	1483	964
606	1486	962
607	1488	959
608	1490	956
609	1492	954
610	1494	951
611	1496	948
612	1499	946
613	1501	943
614	1503	941
615	1505	938
616	1507	935
617	1509	933
618	1511	930
619	1513	927
620	1517	925
621	1519	923
622	1521	920
623	1523	917
624	1524	914
625	1526	912
626	1529	909
627	1531	906
628	1533	904
629	1535	901
630	1537	899
631	1539	896
632	1541	893
633	1543	891
634	1545	888
635	1547	885
636	1549	883
637	1551	880
638	1554	878
639	1556	875
640	1558	873
641	1560	870
642	1563	868
643	1565	865
644	1567	862
645	1569	860
646	1571	857
647	1574	855
648	1576	852
649	1578	850
650	1581	847
651	1583	845
652	1585	842
653	1587	839
654	1589	837
655	1591	834
656	1592	831
657	1594	828
658	1596	826
659	1599	823
660	1601	821
661	1603	818
662	1605	816
663	1607	813
664	1609	810
665	1611	808
666	1614	806
667	1618	804
668	1620	801
669	1622	799
670	1624	796
671	1626	793
672	1629	791
673	1631	788
674	1633	786
675	1636	784
676	1638	781
677	1641	779
678	1643	776
679	1645	774
680	1647	771
681	1649	769
682	1651	766
683	1653	764
684	1655	761
685	1658	759
686	1660	756
687	1662	753
688	1664	751
689	1666	748
690	1668	746
691	1670	743
692	1672	741
693	1674	738
694	1676	735
695	1678	733
696	1680	730
697	1682	728
698	1684	725
699	1686	722
700	1688	720
701	1690	717
702	1693	715
703	1694	712
704	1696	710
705	1698	707
706	1701	705
707	1703	702
708	1705	699
709	1707	697
710	1709	694
711	1711	692
712	1713	689
713	1715	687
714	1717	684
715	1719	681
716	1721	679
717	1723	677
718	1725	674
719	1727	671
720	1730	669
721	1732	667
722	1734	664
723	1736	662
724	1738	659
725	1740	656
726	1742	654
727	1744	651
728	1746	649
729	1748	646
730	1750	644
731	1752	641
732	1755	639
733	1757	636
734	1759	634
735	1761	631
736	1763	629
737	1765	626
738	1768	624
739	1770	621
740	1771	619
741	1774	616
742	1776	614
743	1778	611
744	1780	609
745	1781	606
746	1783	604
747	1785	601
748	1787	599
749	1790	596
750	1792	594
751	1794	591
752	1796	589
753	1798	586
754	1800	584
755	1802	581
756	1804	579
757	1807	576
758	1809	574
759	1811	571
760	1813	569
761	1815	566
762	1817	564
763	1819	562
764	1823	560
765	1825	557
766	1827	555
767	1829	552
768	1832	550
769	1834	548
770	1836	545
771	1839	543
772	1840	540
773	1842	538
774	1844	535
775	1846	533
776	1848	530
777	1850	528
778	1853	525
779	1856	523
780	1858	521
781	1860	518
782	1862	516
783	1864	513
784	1866	511
785	1868	508
786	1870	506
787	1872	503
788	1874	501
789	1876	498
790	1878	496
791	1880	493
792	1883	491
793	1885	489
794	1888	486
795	1889	484
796	1891	481
797	1894	479
798	1895	476
799	1898	474
800	1900	472
801	1902	469
802	1904	467
803	1906	464
804	1908	462
805	1910	459
806	1912	457
807	1914	454
808	1916	452
809	1919	450
810	1921	447
811	1923	445
812	1925	442
813	1927	440
814	1929	437
815	1931	435
816	1933	433
817	1935	430
818	1937	428
819	1939	425
820	1941	423
821	1943	420
822	1946	418
823	1948	416
824	1950	413
825	1952	411
826	1954	408
827	1956	406
828	1957	403
829	1960	401
830	1962	399
831	1964	396
832	1966	394
833	1968	391
834	1970	389
835	1972	386
836	1974	384
837	1977	382
838	1980	380
839	1982	377
840	1984	375
841	1986	372
842	1988	370
843	1990	367
844	1992	365
845	1994	363
846	1996	360
847	1998	358
848	2000	355
849	2002	353
850	2004	350
851	2006	348
852	2011	346
853	2013	344
854	2015	341
855	2017	339
856	2019	336
857	2021	334
858	2024	332
859	2026	329
860	2028	327
861	2031	325
862	2033	322
863	2035	320
864	2038	318
865	2040	315
866	2042	313
867	2044	310
868	2046	308
869	2048	306
870	2050	303
871	2052	301
872	2054	298
873	2056	296
874	2058	294
875	2060	291
876	2062	289
877	2064	286
878	2066	284
879	2069	282
880	2071	279
881	2073	277
882	2076	275
883	2077	272
884	2079	270
885	2081	267
886	2084	265
887	2086	263
888	2087	260
889	2090	258
890	2092	255
891	2094	253
892	2096	251
893	2098	248
894	2101	246
895	2104	244
896	2106	241
897	2108	239
898	2110	237
899	2112	234
900	2114	232
901	2117	230
902	2118	227
903	2120	225
904	2122	222
905	2125	220
906	2127	218
907	2129	215
908	2131	213
909	2134	211
910	2135	208
911	2138	206
912	2140	203
913	2142	201
914	2144	199
915	2146	196
916	2147	194
917	2150	192
918	2152	189
919	2153	187
920	2155	184
921	2157	182
922	2159	180
923	2162	177
924	2164	175
925	2166	173
926	2168	170
927	2170	168
928	2172	166
929	2174	163
930	2176	161
931	2178	158
932	2180	156
933	2182	154
934	2184	151
935	2186	149
936	2189	147
937	2191	144
938	2194	142
939	2196	140
940	2199	137
941	2202	135
942	2204	133
943	2206	130
944	2208	128
945	2211	126
946	2213	123
947	2216	121
948	2218	119
949	2220	116
950	2222	114
951	2225	112
952	2228	109
953	2230	107
954	2233	105
955	2235	102
956	2236	100
957	2239	98
958	2241	95
959	2243	93
960	2245	91
961	2248	88
962	2250	86
963	2251	84
964	2255	81
965	2258	79
966	2260	77
967	2262	74
968	2264	72
969	2266	70
970	2268	67
971	2270	65
972	2273	63
973	2275	60
974	2277	58
975	2279	56
976	2281	53
977	2283	51
978	2288	49
979	2290	46
980	2292	44
981	2294	42
982	2296	39
983	2298	37
984	2299	35
985	2302	32
986	2303	30
987	2305	28
988	2308	25
989	2310	23
990	2312	21
991	2314	18
992	2316	16
993	2319	13
994	2320	11
995	2322	9
996	2324	6
997	2327	4
998	2329	2
999	2330	0
